block_date,avg_whale_tx_size_usd,total_whale_volume_usd,unique_whale_senders,whale_exchange_deposits_usd,whale_exchange_withdrawals_usd,whale_net_exchange_flow_usd,whale_tx_count,price_usd,daily_return,next_day_price_direction
2023-01-23,967884.4093891649,2848483816.832312,1023,346263401.123392,343957770.05071115,-2305631.072680831,2238,1630.8448549407967,-0.0012963388780643514,0
2023-01-22,730195.7273487153,1743707396.9087322,762,180096795.8874764,155657662.65808,-24439133.229396403,1746,1625.9093109886562,-0.0030263724579243645,1
2023-01-21,798977.3552790674,2534356170.945202,989,225831260.8538983,198303779.3157547,-27527481.538143575,2302,1661.3349193405402,0.02178818222668455,0
2023-01-20,788714.8642147861,2736051863.961093,1178,569063527.1360278,540329731.8101268,-28733795.32590103,2619,1550.5088875585636,-0.06670902446688387,0
2023-01-19,887050.588312856,2758727329.652982,1096,420864528.22430414,395801302.2974871,-25063225.92681706,2359,1516.555475473704,-0.021898237641399643,1
2023-01-18,708355.8229433467,3150766700.4520063,1510,358630371.87657195,323996764.50382656,-34633607.372745395,3316,1569.5308332272923,0.03493136822907261,1
2023-01-17,899826.2958648043,2763366554.600814,1075,438809786.5138761,416993907.5391043,-21815878.974771798,2301,1577.725890482971,0.005221341997358353,0
2023-01-16,827552.0508521048,2927051603.8638945,1199,317742369.8026065,292055253.8417125,-25687115.96089405,2649,1551.324517175301,-0.016733815085957615,0
2023-01-15,789483.1285773979,1751073579.1846685,778,75844236.58265625,98863866.46827881,23019629.88562256,1618,1549.111474081304,-0.0014265507116631992,0
2023-01-14,808937.0111913782,4576156672.309627,1641,664342377.5662998,538391423.5129509,-125950954.0533489,4379,1453.3769102089225,-0.06179966095025968,0
2023-01-13,889114.9821157361,3287947203.863992,1247,231860589.4498421,266664039.21425444,34803449.76441234,2863,1417.134908743914,-0.02493640927582841,0
2023-01-12,676046.8056751357,3194321156.8150163,1423,428896317.3110533,402728467.6942096,-26167849.6168437,3456,1389.7716620941067,-0.019308850894133145,0
2023-01-11,685092.8650505645,1749042084.4740913,922,192168014.2629024,159976651.17542306,-32191363.087479353,1976,1336.017071771777,-0.03867872096437219,0
2023-01-10,701311.6159287881,1850761354.4360716,1007,176899415.39457926,196208123.40250733,19308708.007928073,2070,1321.676571173056,-0.010733770474731452,0
2023-01-09,706667.4762360324,2780736518.9887877,1211,280868496.3553002,220654449.6442535,-60214046.711046696,2975,1284.5754041342987,-0.028071290547148076,0
2023-01-08,777878.9893171411,1079696037.1721919,543,165799365.9522861,183940183.98360398,18140818.03131789,1027,1264.8369433837202,-0.015365747068682656,1
2023-01-07,597938.8230721295,667897665.3715687,454,21194079.545204815,25141326.799954765,3947247.25474995,823,1270.028610178057,0.004104613500968801,0
2023-01-06,650635.4967966791,1599912686.623034,922,178861414.46111894,178518464.0927783,-342950.36834064126,1882,1250.7922522355914,-0.015146397323890781,1
2023-01-05,647850.6159851413,1330037314.617495,856,221093729.49232438,208505334.19311526,-12588395.299209118,1682,1256.4366037834864,0.004512621130972505,0
2023-01-04,961381.0466679832,3008161295.0241194,1087,281835204.3748022,240825108.73623854,-41010095.63856363,2517,1214.760969419338,-0.03316970728061508,0
2023-01-03,515711.7767800874,897338491.597352,773,64805025.9054837,59337757.32159963,-5467268.583884068,1387,1214.3789459253508,-0.0003144844982710948,0
2023-01-02,513250.53580140206,837624874.4278882,622,65197979.586099334,60211975.64692131,-4986003.939178027,1294,1200.65921690107,-0.01129773294432923,0
2023-01-01,571369.7586884759,682215491.8740402,519,54306333.63643526,32379831.181837264,-21926502.454598,889,1196.6130648084502,-0.003369942141503768,1
2022-12-31,825520.7228492902,1509051881.3685026,750,186286350.70036197,176552716.88341597,-9733633.816946,1358,1199.1104971711857,0.0020870843183842247,1
2022-12-30,746899.0827983704,1606579927.0992947,936,285346750.8923597,259403467.55602604,-25943283.336333632,1789,1201.5431060594274,0.002028677835762771,0
2022-12-29,567447.4884140111,1435642145.687448,932,94268301.44713698,73582798.8204717,-20685502.62666528,2085,1188.7286638821608,-0.010664987475391241,1
2022-12-28,551852.337610597,1337690066.368087,887,96004805.79633243,99198633.10711211,3193827.310779676,1914,1211.819562063861,0.01942486867128257,1
2022-12-27,536858.881615908,1130624804.6831021,825,102291732.12581919,94686823.29167803,-7604908.834141165,1676,1226.2534148310056,0.011910892693101971,0
2022-12-26,539149.2246420479,627030548.2587017,541,108795421.24225564,100314374.65694095,-8481046.585314691,973,1219.286343216304,-0.0056815920187767155,1
2022-12-25,543025.5314858403,636425922.9014049,434,126562211.43309708,119119126.9261301,-7443084.506966978,870,1221.3595303484499,0.0017003283467253993,0
2022-12-24,483468.3605665205,514893804.0033443,511,36819555.38492314,37825876.83584754,1006321.450924404,856,1220.701744919786,-0.0005385682203471465,0
2022-12-23,1120007.2066613212,2330734997.0622096,788,299336271.0520875,275116565.6350091,-24219705.417078376,1692,1217.8525497108176,-0.0023340633539896682,0
2022-12-22,629723.0775034637,1391688001.2826548,861,139404847.35950187,121744208.00133356,-17660639.358168304,1763,1213.3431612255224,-0.0037027376478095952,1
2022-12-21,759905.7326632518,1513732219.4651976,829,87199839.99602903,70769386.04281576,-16430453.953213274,1676,1217.8888916641765,0.0037464507848403716,0
2022-12-20,755903.3978857804,2047742304.872579,947,499136892.75259453,320618229.7828481,-178518662.9697464,2191,1166.9895905156618,-0.04179305805061062,1
2022-12-19,675919.0397617964,1558669305.6907024,891,163838885.81047827,147568052.97902337,-16270832.831454903,1793,1186.7779210362507,0.016956732674749064,1
2022-12-18,622322.7487771611,842002679.095499,499,96954752.23963265,129974750.79111722,33019998.55148457,1094,1189.4275215641987,0.0022326001191819156,0
2022-12-17,653590.3878469227,1447049118.6930869,759,297166359.5719013,323681951.93988156,26515592.36798024,1680,1165.9737772823325,-0.01971851487934506,1
2022-12-16,880607.0242455055,3865864836.437769,1205,373545463.43525976,459640669.5167991,86095206.08153933,3224,1263.7464240856877,0.08385492770793279,1
2022-12-15,666966.7143360338,1966217873.8626275,1088,267006823.41818833,303230990.6237728,36224167.20558447,2269,1308.4001523403851,0.03533440522848874,1
2022-12-14,751410.3435559853,2533755678.4707823,1141,424435861.64733076,460008534.58568865,35572672.93835789,2598,1319.413007743119,0.008417039223844958,0
2022-12-13,820562.8153578613,4176664730.1715145,1575,832562583.4890773,1032530552.3822387,199967968.89316142,3947,1275.332421155143,-0.03340924057083272,0
2022-12-12,649927.3721601963,1754803904.83253,1020,279632194.69876,334881790.52418107,55249595.825421095,2111,1264.317985551174,-0.008636521287518684,1
2022-12-11,475822.4197980929,616665856.0583284,531,35726163.83295639,64167691.69647076,28441527.86351437,996,1264.7922793495136,0.0003751380615952815,0
2022-12-10,562194.0609763069,771892445.7204694,585,159665433.55046552,158480197.1466364,-1185236.4038291276,1081,1264.4773467215684,-0.0002489994863876799,1
2022-12-09,919236.0702959555,2187781847.304374,912,259753928.51417944,257913235.7316423,-1840692.7825371325,1871,1281.210637067264,0.013233365065084213,0
2022-12-08,695507.2585962631,1943942787.7765555,940,173427618.44015506,188776330.50142488,15348712.06126982,2153,1233.6250483990402,-0.03714111270348874,1
2022-12-07,1464042.63708107,3884105116.1760793,929,550846496.2451597,525547560.5081182,-25298935.737041533,2091,1271.9354761263946,0.031055163622911497,0
2022-12-06,1049086.2329860262,2399260214.8390417,901,145718222.83047485,823723085.7842481,678004862.9537733,1842,1259.7575748565346,-0.00957430742237586,1
2022-12-05,755842.0103484294,2018098167.6303067,970,250017396.73758033,300479594.4706505,50462197.733070165,2045,1282.4164481394064,0.01798669342032122,0
2022-12-04,625018.0801377109,1135032833.530083,491,75958287.18947029,128446522.75489308,52488235.56542279,1217,1243.0408423289737,-0.0307042270609994,1
2022-12-03,465008.9969455533,996979289.4512663,594,188991890.5425842,216235641.31165004,27243750.769065827,1449,1293.9480231782143,0.040953747548520214,0
2022-12-02,768865.5000589987,2068248195.1587067,1008,251819497.68823463,265960320.91025147,14140823.222016841,2107,1276.6393714030964,-0.01337662059454603,1
2022-12-01,654619.4894928618,1973023141.3314855,1059,201599754.91871515,174463631.12418696,-27136123.794528186,2318,1298.94077037352,0.01746883220898421,0
2022-11-30,775765.4316384234,2874986689.651997,1208,283549787.202163,182547416.35588998,-101002370.846273,2804,1216.936420693739,-0.06313170819651781,0
2022-11-29,970515.5989457608,2600981805.1746387,933,311490862.0284279,317501803.55063874,6010941.522210836,2119,1170.115741471507,-0.03847421970947418,1
2022-11-28,876955.0528875908,2608941282.340583,1004,421231426.70592517,367586705.6165308,-53644721.08939439,2296,1196.1962195659255,0.02228880201339778,1
2022-11-27,565190.9859220595,1180118778.6052604,658,176748655.61024687,235562400.2067831,58813744.59653622,1530,1205.6579602157142,0.007909856673198767,0
2022-11-26,597546.9338108982,1298469487.1710818,719,184589628.6469827,154580833.30790517,-30008795.339077532,1591,1198.9755884889066,-0.00554251035311204,1
2022-11-25,727965.3264343911,2111099446.6597342,929,267249644.48060206,287501682.7326323,20252038.252030224,2130,1204.2078028331202,0.0043639039814045155,0
2022-11-24,725878.3567035703,2475245196.3591747,1051,293207900.0268728,233436077.84288988,-59771822.18398294,2460,1184.4617581029652,-0.016397539264983108,0
2022-11-23,811962.8862634694,2656742563.8540716,1130,192510296.16998422,159632606.9663612,-32877689.203623027,2533,1135.175811894246,-0.04161041576188629,0
2022-11-22,939166.5327004724,4060016920.864142,1253,342832743.8913495,320149016.14923906,-22683727.74211043,3408,1110.2882130124592,-0.021924003860034014,1
2022-11-21,1179900.7732092303,5982096920.170797,1392,348540718.27470976,339451644.0518577,-9089074.222852051,3619,1144.2531525085535,0.03059110156987055,1
2022-11-20,642287.9456751976,1838870388.4680908,843,226426043.06315392,199474835.4521405,-26951207.611013412,2069,1218.8936571112463,0.06523076160118757,0
2022-11-19,1184306.8187181985,1791856216.7206342,610,154416426.2442093,156374376.04163554,1957949.7974262536,1171,1213.49631006335,-0.004428070501808934,0
2022-11-18,1003546.4308567249,2901252731.6067915,1112,242455502.7171312,248087069.4301336,5631566.7130024135,2258,1201.7898419641292,-0.009646892209016822,1
2022-11-17,937343.222689432,3271327847.1861176,1240,380666598.91648746,425176288.7540752,44509689.837587774,2742,1217.7020892163014,0.01324045743818747,1
2022-11-16,930942.3814635202,4038428050.7887506,1323,404334462.2758755,312887927.9760678,-91446534.29980773,3429,1252.7067308366848,0.028746474142055556,0
2022-11-15,1010041.7668525806,4121980450.5253816,1258,498553629.1778548,551153503.638887,52599874.46103227,3147,1241.997092728311,-0.008549198184016227,0
2022-11-14,1020228.3167584004,5490868800.793711,1570,626680547.8757913,663174316.4840565,36493768.60826516,4205,1223.0064433283683,-0.015290413730539076,1
2022-11-13,1147017.9351148221,4458458713.791313,1134,375699145.4867694,423198862.97278696,47499717.486017585,3131,1255.6010507578437,0.026651214805353263,1
2022-11-12,885649.9929791524,4433563864.853637,1393,533399098.8167483,464585901.39418447,-68813197.42256385,3751,1293.9115948871518,0.030511717162218677,1
2022-11-11,888227.2793760254,5055789674.208337,1703,814685974.7539431,654495923.6166394,-160190051.1373037,4527,1301.5538803074423,0.005906342790719776,0
2022-11-10,1106102.617077251,9845419394.60461,2269,1086713912.6726966,1027471821.9291986,-59242090.74349797,6673,1095.1839771132936,-0.15855655790861434,1
2022-11-09,1028601.0145815989,11011173861.096016,2571,2569257274.018322,2460291206.4213777,-108966067.59694433,7911,1334.2879331082395,0.21832309547221507,1
2022-11-08,1032925.4225810543,10331320076.655704,2364,1049467346.4211537,1077219473.592189,27752127.17103541,7385,1569.9886360033397,0.17664905530999797,1
2022-11-07,1003214.4551817065,5216715166.944874,1541,481103837.11400616,436088200.5903352,-45015636.52367097,4190,1572.9477769721586,0.0018848168075611405,1
2022-11-06,877406.7356168587,2153156129.203771,795,301530494.8974893,292034699.12884724,-9495795.768642068,1919,1626.8064304933644,0.034240585930246814,1
2022-11-05,896743.340771472,1793486681.542944,766,328933894.65605146,294820151.1107859,-34113743.545265555,1514,1644.1928578089398,0.0106874591774897,0
2022-11-04,1005125.1317788195,4171269296.882101,1318,541545360.200665,480763991.21397036,-60781368.986694634,3230,1531.112630741574,-0.06877552504275997,0
2022-11-03,1053995.415486637,2958565131.27099,1115,274092006.6348785,286523695.87934446,12431689.244465947,2214,1520.6383643789845,-0.006840950921759736,1
2022-11-02,1106411.671513375,4103680889.643108,1196,698088203.8117063,540355133.5209932,-157733070.29071307,2873,1580.3787334402593,0.0392863750255783,0
2022-11-01,938445.8541065316,2526296239.254783,1047,254090930.53418583,263331352.14307442,9240421.608888596,2150,1572.979514885975,-0.004681927437847233,1
2022-10-31,928482.8340565722,3322111580.254415,1231,413964063.71938074,415351765.83126193,1387702.1118811965,2818,1591.0517734961002,0.011489188790507088,1
2022-10-30,784297.4724252752,1858000712.175477,785,253519559.2084352,207388790.54165894,-46130768.66677627,1791,1619.4295836277443,0.017835881021827538,0
2022-10-29,813506.9845677644,2837512362.1723623,1024,385431791.3758062,391333716.95369697,5901925.577890754,2676,1555.0292135813938,-0.03976731726864269,0
2022-10-28,893197.0557467199,3162810774.399135,1165,379019282.62036735,393388321.0472766,14369038.426909268,2800,1514.8635252533977,-0.025829539392054457,1
2022-10-27,913621.2562988555,3829900306.4048023,1307,432094163.9798139,436111023.3090242,4016859.329210341,3391,1568.7475855708392,0.035570240763720395,0
2022-10-26,1029133.644803098,5955596402.475529,1581,799689477.647161,711556547.0262823,-88132930.6208787,4564,1462.0489375629863,-0.06801517910800614,0
2022-10-25,896698.2110802836,4709459004.59365,1375,502415793.914468,525919621.23159206,23503827.31712407,4031,1343.334491985092,-0.08119731325530954,1
2022-10-24,790618.4437282666,2520491598.605714,1087,354749965.4609884,284098164.0060129,-70651801.45497549,2517,1364.4868713063736,0.015746174498969312,0
2022-10-23,640395.130013431,1228918254.495774,593,143914238.57339272,159650183.6460846,15735945.072691888,1452,1313.767778723105,-0.03717081757973206,0
2022-10-22,631170.0035651776,929713415.2515066,569,147676478.9624761,140516737.0574573,-7159741.905018806,1145,1299.8019052506386,-0.010630397318801887,0
2022-10-21,1027373.1325252814,2262275637.8206697,842,126518696.10247302,147811742.9104911,21293046.80801809,1765,1282.0426467759612,-0.013663050040885194,1
2022-10-20,764307.6398981366,1754086033.5662234,838,96023539.3805956,115124550.93173781,19101011.551142216,1819,1284.654933702257,0.0020375975267790114,1
2022-10-19,871637.0559656429,1796443972.34519,845,200920648.46320605,194575140.1471494,-6345508.316056639,1597,1311.8067255158232,0.021135474672032917,1
2022-10-18,755321.0184070665,2060515738.2144773,940,183216883.6454946,181698703.33765972,-1518180.3078348935,2129,1333.4408776301655,0.016491874674476437,0
2022-10-17,731395.2097164958,1786067102.1276827,857,210323995.68543464,259247486.43723834,48923490.751803696,1923,1306.943118828839,-0.019871716283678897,0
2022-10-16,660806.0987033889,876889692.979397,485,143455004.52299973,135387509.97027847,-8067494.552721262,1006,1275.6937773947975,-0.023910253616886035,1
